"","ID","Name","Nationality","Club_Joining","Contract_Expiry","Rating","Height","Preffered_Foot","Birth_Date","Age","Work_Rate","Weight"
"61",61,"Karim Benzema","France",2009-07-01,2019,86,187,"Right",1987-12-19,29,"Medium / Low",79
"62",62,"Cesc Fàbregas","Spain",2014-07-01,2019,86,175,"Right",1987-05-04,29,"High / Medium",74
"63",63,"Franck Ribéry","France",2007-07-01,2018,86,170,"Right",1983-04-07,33,"High / Medium",72
"64",64,"Santi Cazorla","Spain",2012-08-07,2018,86,168,"Right",1984-12-13,32,"Medium / Medium",66
"65",65,"Andrea Barzagli","Italy",2011-01-01,2018,86,187,"Right",1981-05-08,35,"Low / High",88
"66",66,"Harry Kane","England",2010-07-01,2022,85,188,"Right",1993-07-28,23,"High / High",86
"67",67,"Alexandre Lacazette","France",2009-07-01,2019,85,175,"Right",1991-05-28,25,"High / Medium",73
"68",68,"Keylor Navas","Costa Rica",2014-08-04,2020,85,185,"Right",1986-12-15,30,"Medium / Medium",78
"69",69,"Romelu Lukaku","Belgium",2014-07-30,2019,85,190,"Left",1993-05-13,23,"Medium / Medium",94
"70",70,"Christian Eriksen","Denmark",2013-08-30,2018,85,180,"Right",1992-02-14,24,"High / Medium",76
"71",71,"Ilkay Gündogan","Germany",2016-07-01,2020,85,180,"Right",1990-10-24,26,"High / Medium",80
"72",72,"Toby Alderweireld","Belgium",2015-07-08,2020,85,187,"Right",1989-03-02,27,"Medium / Medium",91
"73",73,"Willian","Brazil",2013-08-28,2020,85,175,"Right",1988-08-09,28,"High / High",75
"74",74,"Miralem Pjanic","Bosnia Herzegovina",2016-07-01,2021,85,180,"Right",1990-04-02,26,"Medium / Medium",72
"75",75,"Juan Mata","Spain",2014-01-25,2018,85,170,"Left",1988-04-28,28,"Medium / Medium",63
"76",76,"Javi Martinez","Spain",2012-08-29,2021,85,190,"Right",1988-09-02,28,"Medium / Medium",81
"77",77,"Dimitri Payet","France",2017-01-29,2021,85,175,"Right",1987-03-29,29,"High / Low",77
"78",78,"Dries Mertens","Belgium",2013-07-01,2018,85,169,"Right",1987-05-06,29,"High / Low",61
"79",79,"Sokratis","Greece",2013-07-01,2019,85,186,"Right",1988-06-09,28,"Medium / Medium",85
"80",80,"Marek Hamšik","Slovakia",2007-07-01,2020,85,183,"Right",1987-07-27,29,"High / Medium",79
"81",81,"Blaise Matuidi","France",2011-07-01,2018,85,175,"Left",1987-04-09,29,"High / High",70
"82",82,"Stéphane Ruffier","France",2011-07-11,2021,85,188,"Right",1986-09-27,30,"Medium / Medium",93
"83",83,"Laurent Koscielny","France",2010-07-07,2020,85,186,"Right",1985-09-10,31,"Medium / High",75
"84",84,"Filipe Luís","Brazil",2015-07-29,2019,85,182,"Left",1985-08-09,31,"High / Medium",77
"85",85,"Vincent Kompany","Belgium",2008-08-22,2019,85,193,"Right",1986-04-10,30,"Medium / Medium",85
"86",86,"Aymeric Laporte","France",2012-10-01,2020,84,189,"Left",1994-05-27,22,"Medium / Medium",85
"87",87,"Yannick Carrasco","Belgium",2015-07-10,2022,84,180,"Right",1993-09-04,23,"High / Medium",66
"88",88,"Carvajal","Spain",2013-07-05,2020,84,173,"Right",1992-01-11,24,"High / Medium",73
"89",89,"Riyad Mahrez","Algeria",2014-01-11,2020,84,179,"Left",1991-02-21,25,"Medium / Medium",62
"90",90,"Raphaël Varane","France",2011-07-01,2020,84,191,"Right",1993-04-25,23,"Medium / High",78
"91",91,"Mauro Icardi","Argentina",2013-07-09,2021,84,181,"Right",1993-02-19,23,"Medium / Low",75
"92",92,"Lorenzo Insigne","Italy",2010-07-01,2019,84,163,"Right",1991-06-04,25,"High / Medium",59
"93",93,"Isco Na","Spain",2013-07-03,2018,84,176,"Right",1992-04-21,24,"High / Medium",74
"94",94,"Koke","Spain",2011-01-01,2019,84,178,"Right",1992-01-08,24,"High / High",74
"95",95,"Kostas Manolas","Greece",2014-08-26,2019,84,189,"Right",1991-06-14,25,"Medium / High",83
"96",96,"Danijel Subašic","Croatia",2012-01-24,2019,84,191,"Right",1984-10-27,32,"Medium / Medium",84
"97",97,"Nicolás Otamendi","Argentina",2015-08-20,2020,84,183,"Right",1988-02-12,28,"High / High",81
"98",98,"Shkodran Mustafi","Germany",2016-08-30,2021,84,184,"Right",1992-04-17,24,"Medium / High",82
"99",99,"Nemanja Matic","Serbia",2014-01-15,2019,84,194,"Left",1988-08-01,28,"Medium / High",84
"100",100,"Alex Sandro","Brazil",2015-08-21,2020,84,181,"Left",1991-01-26,25,"High / High",76
"101",101,"Kamil Glik","Poland",2016-07-06,2020,84,190,"Right",1988-02-03,28,"Low / Medium",80
"102",102,"Douglas Costa","Brazil",2015-07-01,2020,84,170,"Left",1990-09-14,26,"Medium / Low",65
"103",103,"Kevin Strootman","Netherlands",2013-07-16,2018,84,186,"Left",1990-02-13,26,"High / High",78
"104",104,"Nicolás Gaitán","Argentina",2016-07-01,2020,84,173,"Left",1988-02-23,28,"Medium / Medium",68
"105",105,"Bruno","Spain",2005-07-01,2020,84,184,"Left",1984-06-12,32,"Medium / High",73
"106",106,"Ivan Perišic","Croatia",2015-09-01,2020,84,186,"Right",1989-02-02,27,"High / Medium",81
"107",107,"David Luiz","Brazil",2016-08-31,2019,84,189,"Right",1987-04-22,29,"High / Medium",84
"108",108,"Sami Khedira","Germany",2015-07-01,2019,84,189,"Right",1987-04-04,29,"High / High",93
"109",109,"Benedikt Höwedes","Germany",2007-07-01,2020,84,187,"Right",1988-02-29,28,"Medium / Medium",82
"110",110,"Ralf Fährmann","Germany",2011-07-01,2020,84,196,"Right",1988-09-27,28,"Medium / Medium",95
"111",111,"Sergio Asenjo","Spain",2014-06-30,2022,84,189,"Right",1989-06-28,27,"Medium / Medium",87
"112",112,"Éver Banega","Argentina",2016-07-06,2020,84,174,"Right",1988-06-29,28,"Medium / Medium",71
"113",113,"Medhi Benatia","Morocco",2014-08-26,2019,84,190,"Right",1987-04-17,29,"Medium / Medium",96
"114",114,"Steve Mandanda","France",2016-07-01,2019,84,185,"Right",1985-03-28,31,"Medium / Medium",82
"115",115,"Dani Alves","Brazil",2016-07-01,2018,84,172,"Right",1983-05-06,33,"High / Low",68
"116",116,"Arda Turan","Turkey",2015-07-06,2020,84,177,"Right",1987-01-30,29,"High / High",76
"117",117,"Javier Mascherano","Argentina",2010-08-01,2019,84,174,"Right",1984-06-08,32,"Medium / High",73
"118",118,"Aduriz","Spain",2012-07-01,2017,84,182,"Right",1981-02-11,35,"High / Medium",78
"119",119,"Yaya Touré","Ivory Coast",2010-07-02,2017,84,189,"Right",1983-05-13,33,"Medium / Medium",90
"120",120,"Eric Bailly","Ivory Coast",2016-07-01,2020,83,187,"Right",1994-04-12,22,"Medium / High",77
"121",121,"José María Giménez","Uruguay",2013-07-01,2018,83,185,"Right",1995-01-20,21,"Medium / High",80
"122",122,"N'golo Kanté","France",2016-07-16,2021,83,168,"Right",1991-03-29,25,"Medium / High",68
"123",123,"Gerónimo Rulli","Argentina",2017-01-01,2022,83,189,"Right",1992-05-20,24,"Medium / Medium",80
"124",124,"João Mário","Portugal",2016-08-28,2021,83,179,"Right",1993-01-19,23,"Medium / High",73
"125",125,"André Gomes","Portugal",2016-07-21,2021,83,188,"Right",1993-07-30,23,"Medium / Medium",84
"126",126,"Marquinhos","Brazil",2013-07-19,2019,83,183,"Right",1994-05-14,22,"Medium / Medium",75
"127",127,"Carlos Bacca","Colombia",2015-07-10,2020,83,181,"Right",1986-09-08,30,"Medium / Low",77
"128",128,"William Carvalho","Portugal",2011-01-01,2020,83,187,"Right",1992-04-07,24,"Medium / High",83
"129",129,"Karim Bellarabi","Germany",2011-07-01,2021,83,183,"Right",1990-04-08,26,"High / High",80
"130",130,"Raheem Sterling","England",2015-07-14,2020,83,170,"Right",1994-12-08,22,"High / Medium",69
"131",131,"Julian Draxler","Germany",2017-01-03,2021,83,187,"Right",1993-09-20,23,"Medium / Low",72
"132",132,"Roberto Firmino","Brazil",2015-07-06,2020,83,181,"Right",1991-10-02,25,"High / High",76
"133",133,"Marcos Rojo","Argentina",2014-08-20,2019,83,187,"Left",1990-03-20,26,"Medium / High",80
"134",134,"Kalidou Koulibaly","Senegal",2014-07-01,2019,83,195,"Right",1991-06-20,25,"High / High",89
"135",135,"Danilo Pereira","Portugal",2015-07-02,2022,83,188,"Right",1991-09-09,25,"Medium / High",83
"136",136,"Timo Horn","Germany",2011-07-01,2019,83,192,"Left",1993-05-12,23,"Medium / Medium",90
"137",137,"Casemiro","Brazil",2013-07-11,2021,83,184,"Right",1992-02-23,24,"Medium / High",80
"138",138,"Vitolo","Spain",2013-07-03,2020,83,184,"Right",1989-11-02,27,"High / High",79
"139",139,"Anthony Lopes","Portugal",2010-06-11,2020,83,184,"Left",1990-10-01,26,"Medium / Medium",81
"140",140,"Mattia Perin","Italy",2010-01-01,2019,83,188,"Right",1992-11-10,24,"Medium / Medium",74
"141",141,"Joel Matip","Cameroon",2016-07-01,2020,83,195,"Right",1991-08-08,25,"Medium / Medium",90
"142",142,"Juan Cuadrado","Colombia",2015-02-02,2019,83,179,"Right",1988-05-26,28,"High / Medium",71
"143",143,"Iago Aspas","Spain",2015-07-01,2020,83,176,"Left",1987-08-01,29,"High / High",67
"144",144,"Marc-André Ter Stegen","Germany",2014-07-01,2019,83,187,"Right",1992-04-30,24,"Medium / Medium",85
"145",145,"Mario Götze","Germany",2016-08-01,2020,82,176,"Right",1992-06-03,24,"Medium / Medium",75
"146",146,"Ander Herrera","Spain",2014-06-26,2018,83,182,"Right",1989-08-14,27,"High / High",73
"147",147,"Javier Pastore","Argentina",2011-08-01,2019,83,187,"Right",1989-06-20,27,"High / Medium",78
"148",148,"Chris Smalling","England",2010-07-01,2019,83,193,"Right",1989-11-22,27,"Medium / High",90
"149",149,"Pedro","Spain",2015-08-20,2019,83,167,"Right",1987-07-28,29,"High / Medium",62
"150",150,"Giacomo Bonaventura","Italy",2014-09-01,2019,83,181,"Right",1989-08-22,27,"High / Medium",75
"151",151,"Roman Bürki","Switzerland",2015-07-01,2019,83,187,"Right",1990-11-14,26,"Medium / Medium",85
"152",152,"Oscar","Brazil",2017-01-01,2020,83,179,"Right",1991-09-09,25,"Medium / High",67
"153",153,"Steven N'zonzi","France",2015-07-09,2020,83,190,"Right",1988-12-15,28,"Medium / Medium",75
"154",154,"Aaron Ramsey","Wales",2008-06-13,2018,83,183,"Right",1990-12-26,26,"High / High",76
"155",155,"Mateo Musacchio","Argentina",2010-07-01,2018,83,182,"Right",1990-08-26,26,"Medium / Medium",75
"156",156,"Ömer Toprak","Turkey",2011-07-01,2018,83,187,"Right",1989-07-21,27,"Medium / Medium",83
"157",157,"José Callejón","Spain",2013-07-11,2020,83,178,"Right",1987-02-11,29,"High / High",73
"158",158,"Adrien Silva","Portugal",2007-01-01,2020,83,175,"Right",1989-03-15,27,"Medium / High",69
"159",159,"Azpilicueta","Spain",2012-08-24,2020,83,178,"Right",1989-08-28,27,"Medium / Medium",75
"160",160,"Sebastian Giovinco","Italy",2015-02-03,2019,83,164,"Right",1987-01-26,29,"High / Medium",59
"161",161,"Anthony Modeste","France",2015-07-01,2021,83,187,"Right",1988-04-14,28,"Medium / Medium",84
"162",162,"Mario Mandžukic","Croatia",2015-07-01,2019,83,190,"Right",1986-05-21,30,"High / High",86
"163",163,"Adam Lallana","England",2014-07-01,2021,83,172,"Right",1988-05-10,28,"High / High",73
"164",164,"Olivier Giroud","France",2012-06-26,2020,83,192,"Left",1986-09-30,30,"Medium / Medium",88
"165",165,"Rui Patrício","Portugal",2006-06-01,2022,83,190,"Left",1988-02-15,28,"Medium / Medium",84
"166",166,"Yann Sommer","Switzerland",2014-07-01,2019,83,183,"Right",1988-12-17,28,"Medium / Medium",79
"167",167,"Jonas","Brazil",2014-09-12,2019,83,181,"Right",1984-04-01,32,"High / Medium",75
"168",168,"Kévin Gameiro","France",2016-07-30,2020,83,173,"Right",1987-05-09,29,"Medium / Medium",70
"169",169,"Claudio Bravo","Chile",2016-08-25,2020,83,184,"Right",1983-04-13,33,"Medium / Medium",80
"170",170,"Lukasz Piszczek","Poland",2010-07-01,2018,83,184,"Right",1985-06-03,31,"Medium / Medium",78
"171",171,"Jan Vertonghen","Belgium",2012-07-01,2019,83,189,"Left",1987-04-24,29,"High / Medium",88
"172",172,"Asmir Begovic","Bosnia Herzegovina",2015-07-13,2019,83,200,"Right",1987-06-20,29,"Medium / Medium",83
"173",173,"Naldo","Brazil",2016-07-01,2018,83,198,"Right",1982-09-10,34,"High / Medium",91
"174",174,"Daniel Sturridge","England",2013-01-02,2019,83,180,"Left",1989-09-01,27,"Medium / Low",76
"175",175,"José Fonte","Portugal",2017-01-20,2019,83,187,"Right",1983-12-22,33,"Medium / High",81
"176",176,"Ezequiel Garay","Argentina",2016-08-31,2020,83,188,"Right",1986-10-10,30,"Medium / Medium",77
"177",177,"Samir Nasri","France",2011-08-24,2019,83,175,"Right",1987-06-26,29,"High / Medium",75
"178",178,"Gary Cahill","England",2012-01-16,2019,83,193,"Right",1985-12-19,31,"Medium / Medium",86
"179",179,"Ashley Williams","Wales",2016-08-10,2019,83,182,"Right",1984-08-23,32,"Medium / High",91
"180",180,"Leighton Baines","England",2007-08-07,2019,83,170,"Left",1984-12-11,32,"High / Medium",70
"181",181,"Kasper Schmeichel","Denmark",2011-06-01,2021,83,185,"Right",1986-11-05,30,"Medium / Medium",76
"182",182,"Borja Valero","Spain",2012-08-01,2019,83,175,"Right",1985-01-12,31,"Medium / Medium",73
"183",183,"Hatem Ben Arfa","France",2016-07-01,2018,83,178,"Left",1987-03-07,29,"High / Low",74
"184",184,"Joe Hart","England",2006-05-24,2019,83,196,"Right",1987-04-19,29,"Medium / Medium",91
"185",185,"Juanfran","Spain",2011-01-01,2018,83,180,"Right",1985-01-09,31,"High / Medium",72
"186",186,"Wesley Sneijder","Netherlands",2013-01-22,2018,83,170,"Right",1984-06-09,32,"Medium / Low",72
"187",187,"Nani","Portugal",2016-07-05,2019,83,175,"Right",1986-11-17,30,"High / Medium",66
"188",188,"Stephan Lichtsteiner","Switzerland",2011-07-01,2018,83,182,"Right",1984-01-16,32,"High / High",74
"189",189,"Wayne Rooney","England",2004-08-31,2019,83,176,"Right",1985-10-24,31,"Medium / High",83
"190",190,"Daniele De Rossi","Italy",2002-07-01,2017,83,184,"Right",1983-07-24,33,"Medium / High",83
"191",191,"José Reina","Spain",2015-07-01,2018,83,188,"Right",1982-08-31,34,"Medium / Medium",92
"192",192,"Quaresma","Portugal",2015-07-22,2020,83,175,"Right",1983-09-26,33,"High / Medium",67
"193",193,"Marco Asensio","Spain",2015-01-22,2021,82,178,"Left",1996-01-21,20,"Medium / Medium",70
"194",194,"Bernardo Silva","Portugal",2015-01-20,2020,83,173,"Left",1994-08-10,22,"Medium / Medium",64
"195",195,"Islam Slimani","Algeria",2016-08-31,2021,82,188,"Right",1988-06-18,28,"High / High",79
"196",196,"Jonathan Tah","Germany",2015-07-16,2020,82,194,"Right",1996-02-11,20,"Medium / Medium",98
"197",197,"Anthony Martial","France",2015-09-01,2019,82,184,"Right",1995-12-05,21,"High / Low",76
"198",198,"Dele Alli","England",2015-02-02,2022,82,188,"Right",1996-04-11,20,"High / Medium",80
"199",199,"Ederson Na","Brazil",2015-07-01,2023,82,188,"Left",1993-08-17,23,"Medium / Medium",83
"200",200,"Mohamed Salah","Egypt",2014-01-26,2019,82,175,"Left",1992-06-15,24,"High / Medium",72
"201",201,"Sadio Mané","Senegal",2016-07-01,2020,82,175,"Right",1992-04-10,24,"High / Medium",75
"202",202,"Lucas Vázquez","Spain",2015-07-02,2021,82,173,"Right",1991-07-01,25,"High / High",69
"203",203,"Franco Vázquez","Italy",2016-07-16,2021,82,186,"Left",1989-02-22,27,"Medium / High",82
"204",204,"Manu Trigueros","Spain",2011-07-01,2022,82,178,"Right",1991-10-17,25,"Medium / Medium",71
"205",205,"Samuel Umtiti","France",2016-07-12,2021,82,181,"Left",1993-11-14,23,"High / High",75
"206",206,"Stefan Savic","Montenegro",2015-07-20,2020,82,186,"Right",1991-01-08,25,"Medium / High",73
"207",207,"Roque Mesa","Spain",2014-07-08,2020,82,171,"Right",1989-06-07,27,"High / High",73
"208",208,"Loris Karius","Germany",2016-07-01,2021,82,190,"Right",1993-06-22,23,"Medium / Medium",87
"209",209,"Alessandro Florenzi","Italy",2010-07-01,2019,82,173,"Right",1991-03-11,25,"High / Medium",67
"210",210,"Virgil Van Dijk","Netherlands",2015-09-01,2020,82,193,"Right",1991-07-08,25,"High / Medium",92
"211",211,"Jack Butland","England",2013-01-31,2021,82,196,"Right",1993-03-10,23,"Medium / Medium",95
"212",212,"Morata Na","Spain",2016-07-01,2021,82,189,"Right",1992-10-23,24,"High / High",85
"213",213,"Lucas","Brazil",2013-01-01,2019,82,172,"Right",1992-08-13,24,"Medium / Medium",72
"214",214,"Yevhen Konoplyanka","Ukraine",2015-07-09,2019,82,178,"Right",1989-09-29,27,"Medium / Medium",78
"215",215,"Francesco Acerbi","Italy",2013-07-08,2018,82,192,"Left",1988-08-10,28,"Medium / Medium",88
"216",216,"Nolito","Spain",2016-07-01,2019,82,175,"Right",1986-10-15,30,"High / Low",72
"217",217,"Granit Xhaka","Switzerland",2016-07-01,2021,82,185,"Left",1992-09-27,24,"Medium / Medium",82
"218",218,"Stefan De Vrij","Netherlands",2014-07-30,2018,82,189,"Right",1992-02-05,24,"Medium / High",78
"219",219,"Jonathan Viera","Spain",2015-07-17,2021,82,170,"Right",1989-10-01,27,"High / Low",64
"220",220,"Pizzi","Portugal",2013-07-30,2022,82,172,"Right",1989-10-06,27,"High / Medium",66
"221",221,"Serge Aurier","Ivory Coast",2012-01-26,2019,82,176,"Right",1992-12-24,24,"High / High",76
"222",222,"Grzegorz Krychowiak","Poland",2016-07-03,2021,82,186,"Right",1990-01-29,26,"Medium / High",85
"223",223,"Kevin Kampl","Slovenia",2015-08-28,2020,82,178,"Right",1990-10-09,26,"High / High",65
"224",224,"Dejan Lovren","Croatia",2014-07-27,2019,82,188,"Right",1989-07-05,27,"High / High",84
"225",225,"Gary Medel","Chile",2014-08-16,2018,82,171,"Right",1987-08-03,29,"Low / High",71
"226",226,"Idrissa Gueye","Senegal",2016-08-03,2020,82,174,"Right",1989-09-26,27,"Medium / High",72
"227",227,"Víctor Ruíz","Spain",2015-07-01,2019,82,185,"Left",1989-01-25,27,"Medium / Medium",78
"228",228,"Ricardo Rodríguez","Switzerland",2012-01-13,2019,82,180,"Left",1992-08-25,24,"High / Medium",77
"229",229,"Xherdan Shaqiri","Switzerland",2015-08-11,2020,82,169,"Left",1991-10-10,25,"High / Medium",72
"230",230,"Ciro Immobile","Italy",2016-07-27,2021,82,185,"Right",1990-02-20,26,"High / Medium",85
"231",231,"Nathaniel Clyne","England",2015-07-01,2020,82,175,"Right",1991-04-05,25,"High / Medium",67
"232",232,"Iborra","Spain",2013-08-20,2020,82,195,"Right",1988-01-16,28,"Medium / Medium",88
"233",233,"Jack Wilshere","England",2009-01-05,2018,82,172,"Left",1992-01-01,25,"Medium / Medium",68
"234",234,"Shinji Kagawa","Japan",2014-08-31,2018,82,172,"Right",1989-03-17,27,"Medium / Medium",64
"235",235,"Kevin Trapp","Germany",2015-07-08,2020,82,189,"Right",1990-07-08,26,"Medium / Medium",88
"236",236,"Taison","Brazil",2013-01-11,2017,82,172,"Right",1988-01-13,28,"Medium / Medium",64
"237",237,"Kyle Walker","England",2009-07-01,2021,82,183,"Right",1990-05-28,26,"High / Medium",83
"238",238,"Marlos","Brazil",2014-07-04,2019,82,174,"Left",1988-06-07,28,"Medium / Medium",69
"239",239,"Luiz Gustavo","Brazil",2013-08-16,2018,82,187,"Left",1987-07-23,29,"Medium / High",80
"240",240,"Giuliano","Brazil",2016-07-26,2020,82,172,"Right",1990-05-31,26,"High / Medium",68
"241",241,"Gylfi Sigurðsson","Iceland",2014-07-23,2020,82,186,"Right",1989-09-09,27,"High / Medium",77
"242",242,"Yacine Brahimi","Algeria",2014-07-22,2019,82,175,"Right",1990-02-08,26,"Medium / Medium",66
"243",243,"Marko Arnautovic","Austria",2013-09-02,2020,82,192,"Right",1989-04-19,27,"Medium / Medium",83
"244",244,"Jordan Henderson","England",2011-06-09,2020,82,182,"Right",1990-06-17,26,"High / High",67
"245",245,"Orestis Karnezis","Greece",2013-07-18,2019,82,190,"Right",1985-07-11,31,"Medium / Medium",79
"246",246,"Mamadou Sakho","France",2013-09-02,2020,81,187,"Left",1990-02-13,26,"Medium / High",83
"247",247,"Adil Rami","France",2015-07-01,2019,82,190,"Right",1985-12-27,31,"Medium / High",88
"248",248,"Fernando Néstor Muslera","Uruguay",2011-08-11,2018,82,190,"Right",1986-06-16,30,"Medium / Medium",84
"249",249,"Vedran Corluka","Croatia",2012-06-27,2020,82,192,"Right",1986-02-05,30,"High / Medium",84
"250",250,"Edin Džeko","Bosnia Herzegovina",2015-07-01,2020,82,193,"Right",1986-03-17,30,"Medium / Medium",84
